,CPM_mean,RPM_mean,Answered_count,Cost_sum,Revenue_sum,Count
0,0.05933,0.0,1,4.91,0.0,1
1,0.05933,0.063045,1,0.88,0.94,1
2,0.05933,0.0,1,0.2,0.0,1
3,0.05933,0.0,1,1.44,0.0,1
4,0.05933,0.0,1,3.55,0.0,1
5,0.0593305,0.0,2,1.47,0.0,2
6,0.05933,0.063045,1,1.23,1.3,1
7,0.05933,0.0,1,1.14,0.0,1
8,0.05933,0.079706,1,1.22,1.63,1
9,0.05933,0.079706,4,4.82,6.48,4
10,0.05933,0.079706,3,3.6,4.84,3
11,0.05933,0.079706,2,2.3899999999999997,3.21,2
12,0.05933,0.0,1,1.44,0.0,1
13,0.05933033333333333,0.0,3,1.28,0.0,3
14,0.05933,0.079706,1,1.19,1.6,1
15,0.05933,0.0,1,0.06,0.0,1
16,0.05933,0.063045,1,1.07,1.14,1
17,0.059331,0.060705,1,0.02,0.02,1
18,0.05933,0.0,2,1.25,0.0,2
19,0.05933,0.0,2,3.4,0.0,2
20,0.05933,0.0,1,3.38,0.0,1
21,0.05933,0.0,1,0.79,0.0,1
22,0.05933,0.0,1,1.33,0.0,1
23,0.059329,0.060704,1,0.03,0.03,1
24,0.05933,0.060703,1,1.87,1.91,1
25,0.05933,0.079706,1,2.42,3.25,1
26,0.05933,0.0,2,1.22,0.0,2
27,0.05933,0.0,1,1.21,0.0,1
28,0.05933,0.060703,1,3.55,3.64,1
29,0.05933,0.060703,1,0.87,0.89,1
30,0.05933,0.0,1,0.52,0.0,1
31,0.05933,0.060642,3,0.52,0.54,3
32,0.05933,0.0,1,1.98,0.0,1
33,0.05933,0.060703,1,1.54,1.58,1
34,0.05933,0.060703,1,2.31,2.37,1
35,0.059329,0.060704,1,0.01,0.01,1
36,0.05933,0.060642,2,0.38,0.39,2
37,0.059331,0.060703,1,0.01,0.01,1
38,0.05933,0.0,1,1.02,0.0,1
39,0.05933,0.060642,3,2.17,2.21,3
40,0.05933,0.060642,2,1.91,1.94,2
41,0.05933,0.0,1,3.81,0.0,1
42,0.05933,0.060642,1,1.66,1.69,1
